[Row(crim=0.00632, zn=18.0, indus=2.31, chas=0, nox=0.538, rm=6.575, age=65.2, dis=4.09, rad=1, tax=296, ptratio=15.3, b=396.9, lstat=4.98, medv=24.0), Row(crim=0.02731, zn=0.0, indus=7.07, chas=0, nox=0.469, rm=6.421, age=78.9, dis=4.9671, rad=2, tax=242, ptratio=17.8, b=396.9, lstat=9.14, medv=21.6), Row(crim=0.02729, zn=0.0, indus=7.07, chas=0, nox=0.469, rm=7.185, age=61.1, dis=4.9671, rad=2, tax=242, ptratio=17.8, b=392.83, lstat=4.03, medv=34.7), Row(crim=0.03237, zn=0.0, indus=2.18, chas=0, nox=0.458, rm=6.998, age=45.8, dis=6.0622, rad=3, tax=222, ptratio=18.7, b=394.63, lstat=2.94, medv=33.4), Row(crim=0.06905, zn=0.0, indus=2.18, chas=0, nox=0.458, rm=7.147, age=54.2, dis=6.0622, rad=3, tax=222, ptratio=18.7, b=396.9, lstat=5.33, medv=36.2)]
+----+--------------------+------------------+
|medv|            features|        prediction|
+----+--------------------+------------------+
|24.0|[0.00632,18.0,2.3...| 29.67485660793142|
|50.0|[0.01381,80.0,0.4...| 41.46811595322133|
|31.6|[0.01432,100.0,1....|32.658759771989835|
|24.5|[0.01501,80.0,2.0...|27.674794672950863|
|20.1|[0.01965,80.0,1.7...| 20.71915627222073|
|24.7|[0.02055,85.0,0.7...|24.829829622765768|
|34.7|[0.02729,0.0,7.07...|30.898307066150064|
|26.6|[0.02899,40.0,1.2...| 23.31830668895495|
|28.7|[0.02985,0.0,2.18...|25.174367388763912|
|17.5|[0.03113,0.0,4.39...|16.803476661645583|
|34.9|[0.0315,95.0,1.47...|30.675626392198996|
|33.4|[0.03237,0.0,2.18...| 29.05599656547483|
|34.9|[0.03359,75.0,2.9...| 34.57537534875908|
|24.1|[0.03445,82.5,2.0...|28.647163878973167|
|28.5|[0.03502,80.0,4.9...| 33.56086531999654|
|22.0|[0.03537,34.0,6.0...| 28.87475374849462|
|23.5|[0.03584,80.0,3.3...|29.852109128335062|
|20.7|[0.03738,0.0,5.19...|21.883838015619695|
|34.6|[0.03768,80.0,1.5...| 34.89320630515981|
|21.1|[0.03961,0.0,5.19...|20.802952382747492|
+----+--------------------+------------------+
only showing top 20 rows

